Parameter,Count
stop_name,2
stop_id,2
Devices,2
Tests,2
ZONE,2
Status,2
BLDG_TYPE,2
SumOfBLACK18,2
SumOfHISP18,2
SumOfMULTI18,2
SumOfOTHER18,2
SumOfPI18,2
SumOfASIAN18,2
SumOfAMERI18,2
SumOfWHITE18,2
OWNERSHIP_TYPE_CODE,2
SumOfPOP18,2
SumOfNHMULTI,2
SumOfNHOTHER,2
SumOfNHPI,2
SumOfNHASIAN,2
SumOfNHAMERI,2
SumOfNOTHISP18,2
ARPT_NAME,2
SumOfNHWHITE,2
SumOfNHWHITE18,2
SumOfNHPI18,2
SumOfNHMULTI18,2
SumOfHOUSEUNIT,2
SumOfNHASIAN18,2
SumOfNHAMERI18,2
SumOfNHBLACK18,2
SumOfOCCUPIED,2
COUNTRY_CODE,2
SumOfVACANT,2
EFF_DATE,2
SITE_NO,2
SITE_TYPE_CODE,2
STATE_CODE,2
ARPT_ID,2
SumOfNHBLACK,2
SumOfNOTHISP,2
Period,2
Y,2
ALAND,2
F_SCALE,2
PopupSubtitle,2
PopupTitle,2
FCODEDesc,2
ONOFFNET,2
X,2
EndRefPoin,2
REACHCODE,2
GNIS_NAME,2
FDATE,2
COMID,2
AWATER,2
Temp,2
Shape__Len,2
HighwayNum,2
SumOfHISPANIC,2
SumOfTOTALPOP,2
SumOfMULTIALONE,2
SumOfOTHERALONE,2
SumOfASIANALONE,2
SumOfAMERIALONE,2
SumOfBLACKALONE,2
SumOfWHITEALONE,2
MEMBER_PICTURE,2
FACILITY_USE_CODE,2
CHAMBER,2
CAPITOL_PHONE,2
C,2
FIRST_NAME,2
HEIGHT,2
ROUTE,2
PG,2
SumOfPIALONE,2
PERMANENT_IDENTIFIER,2
POP_2017,2
bike,2
SOURCE_FEATUREID,2
SOURCE_DATASETID,2
SOURCE_DATADESC,2
SOURCE_ORIGINATOR,2
fee,2
DATA_SECURITY,2
place_id,2
Count_Yr,2
feature_id,2
POP_2022,2
DISTRIBUTION_POLICY,2
VTD,2
VTDI,2
highway_ve,2
FullAddress,2
COUSUB,2
COUSUBCC,2
PLACE,2
Count_Src,2
CBSA,2
BLOCKGROUP_FIPS,2
length_mi_,2
PO_NAME,2
ZIP_CODE,2
LWBLKTYP,2
CSA,2
NECTA,2
ohv_gt_50,2
COUSUBNS,2
STFIPS,2
atv,2
motorcycle,2
PLACENS,2
PLACECC,2
horse,2
URL,2
dogs,2
GMUID,2
oneway,2
MILES,2
hiking,2
LOADDATE,2
Source_ID,2
Area_sqmi,2
ISLANDMARK,2
POINTLOCATIONTYPE,2
ADMINTYPE,2
Acres,2
COMPLEX_ID,2
DIVISION,2
CONDITION,2
LastUpdate,2
FAC_NAME,2
AWM,2
FAC_ID,2
DISTRICTID,2
AREAPHONE,2
DAU_NAME,2
HUNTING,2
BSDAU,2
FOOT_ID,2
ADDRESSBUILDINGNAME,2
FAC_TYPE,2
MGDAU,2
Loc_Desc,2
EV_Network_Web,1
EV_Network,1
EV_Other_Info,1
EV_DC_Fast_Count,1
EV_Level2_EVSE_Num,1
E85_Blender_Pump,1
Geocode_Status,1
Owner_Type_Code,1
Date_Last_Confirmed,1
Updated_At,1
LPG_Primary,1
Hydrogen_Status_Link,1
Open_Date,1
Federal_Agency_Name,1
Federal_Agency_ID,1
NG_Vehicle_Class,1
P0040016,1
EV_Connector_Types,1
Country,1
EV_On_Site_Renewable_Source,1
LNG_Vehicle_Class,1
CNG_Vehicle_Class,1
CNG_PSI,1
CNG_Fill_Type_Code,1
Hydrogen_Standards,1
Hydrogen_Pressures,1
LPG_Nozzle_Types,1
EV_Pricing__French_,1
EV_Pricing,1
E85_Other_Ethanol_Blends,1
LNG_On_Site_Renewable_Source,1
CNG_Storage_Capacity,1
CNG_Total_Compression_Capacity,1
NG_PSI,1
CNG_On_Site_Renewable_Source,1
CNG_Dispenser_Num,1
Federal_Agency_Code,1
Access_Detail_Code,1
Access_Code,1
Hydrogen_Is_Retail,1
Groups_With_Access_Code__French,1
BD_Blends__French_,1
Access_Days_Time__French_,1
Intersection_Directions__French,1
EV_Level1_EVSE_Num,1
Escort_Requirements_Length110,1
NG_Fill_Type_Code,1
QUAD,1
PM_11to12,1
NumCntDays,1
Count_Type,1
Count_Date,1
TotalCount,1
Direction1,1
Dir1_Count,1
Direction2,1
Dir2_Count,1
filename,1
File_,1
RES,1
BAND,1
PM_9to10,1
QKEY_1,1
Cell,1
LONG,1
naip_3_138,1
naip_3_137,1
naip_3_136,1
naip_3_135,1
naip_3_134,1
naip_3_133,1
naip_3_132,1
naip_3_131,1
naip_3_13_,1
PM_10to11,1
PM_8to9,1
BD_Blends,1
ESCORT_WIDTH_COLOR,1
Cards_Accepted,1
Access_Days_Time,1
Groups_With_Access_Code,1
Expected_Date,1
Status_Code,1
Station_Phone,1
Plus4,1
Intersection_Directions,1
Station_Name,1
Fuel_Type_Code,1
HIghway_Type_and_Number,1
Maximum_LengthRequirement,1
Escort_Length_Stitched,1
PM_7to8,1
Escort_Requirements_Length115,1
NEVICompliant,1
Escort_Requirements_Length_85,1
Pilot_Escort_Requirements_E,1
Pilot_Escort_Requirements_D,1
Pilot_Escort_Requirements_B,1
Pilot_Escort_Requirements_A,1
Notes,1
Pilot_Escort_Requirements_C,1
PM_4to5,1
PM_5to6,1
PM_6to7,1
Restricted_Access,1
POOCounty,1
rec_num,1
FEATUREID,1
RegionName,1
RegionLinkSpan,1
RegionLink,1
SINKID,1
PURPCODE,1
PURPDESC,1
SOURCEFC,1
Managing_Entity,1
GridCode,1
InRPU,1
Catchment,1
Burn,1
AM_6to7,1
AM_5to6,1
CDFIPS,1
Public_Information,1
STRAHNET,1
AM_9to10,1
CMP_ComEmp,1
CMPmltimdl,1
CMP_Cngstn,1
SymbolClass,1
Length_mi,1
Geo_Source,1
Geo_Edit,1
Close_,1
AM_8to9,1
Jurisdiction,1
Population_Served,1
Address,1
AM_7to8,1
Open_,1
AM_4to5,1
AM_3to4,1
ELEVATION,1
StartFlag,1
Hydroseq,1
LevelPathI,1
Pathlength,1
TerminalPa,1
ArbolateSu,1
Divergence,1
TerminalFl,1
AM_2to3,1
DnLevel,1
UpLevelPat,1
UpHydroseq,1
DnLevelPat,1
DnMinorHyd,1
DnDrainCou,1
ToNode,1
FromNode,1
StreamCalc,1
StreamOrde,1
StreamLeve,1
WBAREACOMI,1
LENGTHKM,1
Resolution,1
Travel_Dir,1
Esri_Symbology,1
LakeArea,1
MaxDepth,1
LakeVolume,1
MeanDepth,1
AvgDayTot,1
AM_12to1,1
AM_1to2,1
Frght_Corr,1
NHS_Cat,1
county,1
Fatalities,1
TotalIncidentPersonnel,1
IncidentManagementOrganization,1
FireMgmtComplexity,1
ResidencesDestroyed,1
OtherStructuresDestroyed,1
Injuries,1
PredominantFuelGroup,1
FireCauseGeneral,1
PredominantFuelModel,1
PrimaryFuelModel,1
ContainmentDateTime,1
ControlDateTime,1
FinalAcres,1
IsValid,1
PM_1to2,1
FireCause,1
FHWA_Urban,1
UniqueFireIdentifier,1
cl_re_date,1
descr,1
ord_num,1
notes,1
PM_3to4,1
PM_2to3,1
DailyAcres,1
POOState,1
CalculatedAcres,1
PercentContained,1
ICS209ReportDateTime,1
FireDiscoveryDateTime,1
DiscoveryAcres,1
quads375_O,1
FireOutDateTime,1
ModifiedOnDateTime,1
IncidentTypeKind,1
FClassFed,1
CreateDateAge,1
Route_Name,1
Alt_Name,1
From_Desc,1
To_Desc,1
RtOpStatus,1
Owner,1
IrwinID,1
AM_11to12,1
AM_10to11,1
FClasOwner,1
InTrvlModel,1
In_MPO,1
In_County,1
CurrentDateAge,1
GeometryID,1
IRWINID,1
LocalIncidentID,1
UnitID,1
PM_12to1,1
IMTName,1
ComplexID,1
ComplexName,1
PolygonDateTime,1
DateCurrent,1
CreateDate,1
GISAcres,1
MapMethod,1
FeatureCategory,1
FireDiscoveryAge,1
ModifiedOnAge,1
quads375_8,1
quads375_Q,1
quads375_7,1
trainNum,1
isCui,1
isFirrmaSite,1
isJointBase,1
mediaId,1
mirtaLocationsIdpk,1
sdsId,1
siteName,1
siteOperationalStatus,1
siteReportingComponent,1
stateNameCode,1
ObjectID_1,1
Supervisor_Area,1
City1,1
Route_number,1
Highway_type_num,1
featureName,1
featureDescription,1
countryName,1
SHAPE_STLe,1
WNTW_RISKV,1
WNTW_RISKS,1
WNTW_RISKR,1
NRI_VER,1
SQ_MILES,1
SHAPE_STAr,1
CNGDSTCD,1
LANDGRNT,1
COUNTYNM,1
COUNTYCD,1
CBSATYPE,1
F1SYSNAM,1
F1SYSTYP,1
INSTSIZE,1
routeName,1
trainID,1
WNTW_ALRA,1
lat,1
